tag,last_step,last_value,best_min_value,best_step,best_max_value
train/domain,99900,23.0,,900,35.0
train/loss,99900,0.25467923283576965,0.1649119108915329,74200,
train/psnr,99900,16.695363998413086,,74200,19.83424186706543
val/avg_psnr,99,16.26193618774414,,80,17.242259979248047
val/imagenet-blur_psnr,99,15.35346794128418,,86,17.7615966796875
val/imagenet-blur_ssim,99,0.4354519248008728,,86,0.4972529709339142
val/imagenet-noise_psnr,99,16.861080169677734,,86,21.031484603881836
val/imagenet-noise_ssim,99,0.6199760437011719,,86,0.7120773792266846
val/imagenet-weather_psnr,99,16.571260452270508,,99,16.571260452270508
val/imagenet-weather_ssim,99,0.6569600105285645,,99,0.6569600105285645
