source,target,shots,psnr,ssim
imagenet-noise,imagenet-blur,10,15.3838120803833,0.3809604932785034
imagenet-noise,imagenet-blur,50,16.674940550231934,0.4333542745113373
imagenet-noise,imagenet-blur,100,16.979142157491047,0.4458864335854848
imagenet-noise,imagenet-weather,10,16.519623703002928,0.6214967858632405
imagenet-noise,imagenet-weather,50,17.717530818684896,0.6551596677780152
imagenet-noise,imagenet-weather,100,17.76068434448242,0.6625301801363627
imagenet-blur,imagenet-noise,10,18.131514915974936,0.5436825640837352
imagenet-blur,imagenet-noise,50,18.627755344645184,0.561361759408315
imagenet-blur,imagenet-noise,100,18.9092755472819,0.580324620850881
imagenet-blur,imagenet-weather,10,15.751662563069662,0.5157113189697266
imagenet-blur,imagenet-weather,50,16.493151131184895,0.5406980120340983
imagenet-blur,imagenet-weather,100,16.648914530944825,0.5409853641668956
imagenet-weather,imagenet-noise,10,19.537504758707684,0.6552440687179566
imagenet-weather,imagenet-noise,50,19.894571794637045,0.6625077870368957
imagenet-weather,imagenet-noise,100,20.03252073872884,0.6617400193214417
imagenet-weather,imagenet-blur,10,16.027757043457033,0.41922566049893695
imagenet-weather,imagenet-blur,50,16.65750105082194,0.4442981426715851
imagenet-weather,imagenet-blur,100,17.067477238464356,0.4642713604768117
imagenet-noise,imagenet-blur,10,16.17320442199707,0.4087463742574056
imagenet-noise,imagenet-blur,100,16.880897193400067,0.4416707587718964
imagenet-blur,imagenet-noise,100,19.189466830444335,0.588899113146464
imagenet-blur,imagenet-noise,10,18.13843737182617,0.5457732232252757
imagenet-blur,imagenet-noise,50,18.69102629801432,0.5765758173942566
